k1_wang,k2_wang,kx,ky,zero_field_energy_meV,target_weight_raw,target_weight,target_probability,target_relative,active_weight,common_weight
0.7,0.025,0.03680370804586979,0.0011590162225886902,18.708631688744163,0.00023789073661296722,0.00023831117036129726,0.0007066860637246019,0.8894791918326018,0.0004882052475879917,0.000635629477206908
0.725,0.025,0.03814202470208324,0.0011590162225886902,19.01039206022901,0.0002328868572555552,0.00023234465089643104,0.0006889929939940891,0.8672095898512229,0.00045672843828198644,0.000638262095168512
0.75,0.025,0.039480341358296686,0.0011590162225886902,19.42099403221129,0.0002262293246805241,0.00022559509158838795,0.0006689779040927416,0.8420173483400821,0.00041463140019811905,0.0006375832119189044
0.775,0.025,0.04081865801451014,0.0011590162225886902,19.92739397050954,0.0002148478728851931,0.0002166022845170064,0.0006423107049787655,0.8084523469428249,0.00038362639022435075,0.0006316863748639368
0.8,0.025,0.04215697467072359,0.0011590162225886902,20.51427394201507,0.00019595135735893924,0.00020391470944907186,0.0006046870700086726,0.761096891465717,0.0003601607356334927,0.0006209440186135935
0.825,0.025,0.043495291326937024,0.0011590162225886902,21.163092176528448,0.00016940494511075423,0.00018709035282586125,0.0005547962556640062,0.6983011982985484,0.00033413225957368314,0.0006088878390006233
0.85,0.025,0.044833607983150475,0.0011590162225886902,21.850756350308227,0.0001392389131901153,0.0001678735474533783,0.000497810892680588,0.6265758633660466,0.00030684568437316803,0.0006009513744387057
0.875,0.025,0.046171924639363926,0.0011590162225886902,22.548569499449844,0.00011251393460141962,0.00014949075365596615,0.0004432987010394697,0.5579634162627152,0.00028415045457172623,0.0006006101320195523
0.9,0.025,0.04751024129557737,0.0011590162225886902,23.222079960974092,9.518359503643027e-5,0.00013477443374933684,0.00039965904213652795,0.5030358175376807,0.00027012827303830796,0.0006068741463715547
0.925,0.025,0.04884855795179082,0.0011590162225886902,23.832341299293297,8.866408645758831e-5,0.00012462655464937598,0.00036956660154537904,0.46515959341036195,0.0002647693491078783,0.0006155172131537344
