band_361_meV,band_362_meV,band_363_meV,band_364_meV,band_365_meV,band_366_meV
-104.09037297137291,-36.64309805841878,15.396390381104899,23.352823344289664,54.09358297464151,102.76757521166508
-104.4740449241029,-36.6366905263704,15.41075233235333,23.358939899356095,54.09289994062013,103.02235949388267
-104.60388938155799,-36.63447683205812,15.415535830254035,23.360978065132468,54.09260409317995,103.11219835156436
-104.48595584539702,-36.63670192573871,15.410816702285409,23.358955227890476,54.092846748228354,103.02716631958135
-104.16404058325857,-36.64329875062019,15.39667481667975,23.3528479620055,54.09317433698255,102.79881477625013
-103.69574916697538,-36.65413907450186,15.373135949536152,23.342606163496455,54.09296142309291,102.47111845306028
-103.12635347773833,-36.66908097207489,15.340228995418503,23.328190408828355,54.09155152736672,102.08045392851187
-102.4847165850456,-36.68796931162524,15.297985675267839,23.309571854066444,54.08826019823897,101.65164671288599
-101.78922052730043,-36.71063626779278,15.246440271586788,23.286732056154076,54.082378607257276,101.2005722328283
-101.05230240926142,-36.73690185802661,15.185629388722173,23.259662727395042,54.073177685819466,100.73734046715434
-100.28290028290952,-36.76657450018956,15.115591736454169,23.228365434497963,54.05991281029088,100.26852342375932
-99.48772939128875,-36.79945158925966,15.036367935546243,23.192851253073272,54.041829031255595,99.79850850882045
-98.67198876565696,-36.835320090613294,14.948000344597505,23.153140387850183,54.01816682868662,99.33029212095823
-97.83978692422534,-36.873957148238745,14.850532908105995,23.10926176818083,53.98816835858298,98.86594605210976
-96.99441937272614,-36.91513070557561,14.744011026685522,23.061252627002695,53.95108413864906,98.40689605905962
-96.13856085862858,-36.95860013755237,14.628481450707486,23.009158070818064,53.906180100411476,97.95409173528394
-95.27440434954653,-37.004116892181045,14.503992199816864,22.953030646375343,53.852744915041534,97.50811248605177
-94.40376440687474,-37.051425140337436,14.370592511039925,22.892929909295358,53.790097479401524,97.06923546309518
-93.52815558182064,-37.10026243280663,14.228332818869466,22.8289219981107,53.71759443032129,96.6374808448179
-92.64885270013103,-37.1503603634938,14.077264771145785,22.761079216597572,53.63463753861087,96.21264397043228
-91.76693771860474,-37.20144523851968,13.917441284765234,22.68947962612176,53.54068082279588,95.79432044974907
-90.88333647052107,-37.25323875055392,13.748916645356346,22.61420664914714,53.43523721597826,95.38192833758805
-89.99884771095871,-37.305458658503035,13.571746655119236,22.53534868420928,53.31788461977324,94.97473015686391
-89.11416624547796,-37.35781947271471,13.385988832851496,22.45299873249902,53.18827118705351,94.57185662420949
-88.22990147820258,-37.410033146192745,13.191702669768166,22.367254035584082,53.04611969079963,94.17233317829766
-87.34659239000906,-37.46180977254244,12.988949944602373,22.27821572393353,52.89123085948414,93.77510972818814
-86.46471971729008,-37.51285829176776,12.777795100625365,22.185988475657474,52.72348558889069,93.37909338707779
-85.58471592287783,-37.56288720525753,12.558305686895547,22.090680185101633,52.54284597506293,92.98318334386704
