k1,k2,raw_link1_abs,raw_link2_abs,covariant_link1_abs,covariant_link2_abs,frame_singular1,frame_singular2,frame_singular_difference
0.375,0.0,0.9653144006076649,0.9648493765602075,0.9999998827531936,0.9999993089282443,0.8788249698184158,0.8704231437156079,0.8380051901140078
0.4,0.0,0.9653033260562318,0.9648537837975251,0.9999993963166286,0.9999996910884008,0.9236304980511898,0.8499252441710841,0.8572615592367631
0.425,0.0,0.9653144006076124,0.9648493765602105,0.9999998827531937,0.9999993089282444,0.8788249698137832,0.8704231437146092,0.8380051901160389
0.45,0.0,0.9653033260561935,0.9648537837974791,0.9999993963166283,0.9999996910884009,0.9236304980547232,0.8499252441745069,0.8572615592381787
0.475,0.0,0.9653144006076446,0.9648493765602008,0.9999998827531938,0.9999993089282447,0.8788249698140531,0.8704231437150421,0.8380051901134821
0.5,0.0,0.9653033260562423,0.9648537837975125,0.9999993963166287,0.9999996910884008,0.9236304980522538,0.8499252441725522,0.8572615592379144
0.525,0.0,0.9653144006076725,0.9648493765602092,0.9999998827531933,0.9999993089282446,0.8788249698181514,0.870423143714677,0.8380051901147694
0.55,0.0,0.965303326056245,0.9648537837975233,0.9999993963166288,0.9999996910884009,0.923630498051758,0.8499252441749399,0.8572615592373202
0.575,0.0,0.9653144006076543,0.9648493765602082,0.9999998827531942,0.9999993089282441,0.8788249698159947,0.8704231437137411,0.8380051901130181
0.6,0.0,0.9653033260562344,0.9648537837975013,0.9999993963166283,0.999999691088401,0.9236304980518066,0.8499252441718629,0.8572615592371406
0.625,0.0,0.9653144006076599,0.9648493765602004,0.9999998827531934,0.9999993089282445,0.878824969815368,0.8704231437132974,0.8380051901131189
0.65,0.0,0.9653033260562303,0.9648537837975176,0.9999993963166286,0.9999996910884007,0.9236304980519053,0.8499252441731214,0.8572615592384508
0.675,0.0,0.9653144006076161,0.9648493765602097,0.999999882753194,0.9999993089282443,0.8788249698160576,0.8704231437146944,0.8380051901140017
0.7,0.0,0.9653033260561846,0.9648537837974781,0.9999993963166289,0.9999996910884011,0.923630498051605,0.8499252441726901,0.8572615592399178
0.725,0.0,0.965314400607645,0.9648493765602028,0.9999998827531935,0.9999993089282444,0.8788249698163619,0.8704231437166149,0.8380051901143685
0.75,0.0,0.9653033260562445,0.9648537837975089,0.9999993963166289,0.9999996910884009,0.923630498052983,0.8499252441745577,0.8572615592372107
0.775,0.0,0.9653144006076811,0.9648493765602032,0.9999998827531938,0.9999993089282444,0.8788249698143599,0.8704231437127764,0.8380051901146721
0.8,0.0,0.965303326056244,0.9648537837975236,0.9999993963166289,0.9999996910884015,0.9236304980550729,0.8499252441746364,0.8572615592375638
0.825,0.0,0.965314400607653,0.9648493765601991,0.9999998827531936,0.9999993089282446,0.8788249698119952,0.870423143714943,0.8380051901143367
0.85,0.0,0.9653033260562398,0.9648537837974881,0.9999993963166286,0.9999996910884009,0.9236304980533139,0.8499252441726716,0.8572615592379177
0.875,0.0,0.9653144006076553,0.9648493765602004,0.999999882753194,0.9999993089282443,0.87882496981599,0.8704231437144856,0.8380051901152817
0.9,0.0,0.9653033260562327,0.964853783797509,0.9999993963166287,0.999999691088401,0.9236304980540335,0.8499252441739317,0.8572615592359253
0.925,0.0,0.9653144006076287,0.9648493765602048,0.999999882753194,0.9999993089282442,0.8788249698129316,0.870423143714014,0.8380051901156201
0.95,0.0,0.9653033260561956,0.9648537837974945,0.9999993963166284,0.9999996910884006,0.9236304980532607,0.84992524417321,0.8572615592370123
0.975,0.0,0.9653144006076478,0.9648493765602126,0.9999998827531937,0.9999993089282443,0.8788249698145244,0.8704231437128691,0.8380051901150096
0.0,0.025,0.9653608659658998,0.9650228040674732,0.9999999857151118,0.9999983541230355,0.965304541564076,0.9189281406816754,0.8411497891107366
0.025,0.025,0.965344443821778,0.965015984749604,0.9999988426553068,0.999999997666352,0.9653256910857131,0.9250189719122787,0.8577937886592064
0.05,0.025,0.9653608659658858,0.9650228040674856,0.9999999857151118,0.9999983541230355,0.9653045415640549,0.9189281406816479,0.8411497891103137
0.075,0.025,0.9653444438217553,0.9650159847495791,0.9999988426553063,0.9999999976663523,0.9653256910856916,0.9250189719134414,0.8577937886602881
0.1,0.025,0.9653608659658708,0.9650228040674476,0.9999999857151116,0.9999983541230354,0.9653045415640193,0.9189281406796922,0.8411497891070953
0.125,0.025,0.9653444438217768,0.9650159847495776,0.9999988426553067,0.9999999976663524,0.965325691085714,0.9250189719133272,0.8577937886597258
0.15,0.025,0.9653608659659145,0.9650228040674735,0.9999999857151121,0.9999983541230356,0.9653045415640672,0.918928140678681,0.8411497891079861
0.175,0.025,0.9653444438218081,0.9650159847495969,0.9999988426553064,0.9999999976663523,0.965325691085745,0.9250189719133868,0.8577937886594448
0.2,0.025,0.965360865965908,0.9650228040674521,0.9999999857151118,0.9999983541230358,0.9653045415640772,0.9189281406805899,0.8411497891104947
0.225,0.025,0.9653444438217981,0.9650159847495859,0.999998842655307,0.9999999976663523,0.9653256910857323,0.9250189719134577,0.8577937886588195
0.25,0.025,0.9653608659658959,0.965022804067477,0.999999985715112,0.999998354123036,0.9653045415640792,0.9189281406800589,0.8411497891081872
0.275,0.025,0.9653444438217773,0.9650159847495859,0.9999988426553065,0.9999999976663525,0.9653256910857145,0.9250189719121629,0.8577937886604081
0.3,0.025,0.9653608659658849,0.9650228040674772,0.999999985715112,0.9999983541230357,0.9653045415640443,0.9189281406805178,0.841149789109477
0.325,0.025,0.9653444438217634,0.965015984749567,0.9999988426553074,0.9999999976663522,0.9653256910856992,0.925018971912892,0.8577937886597032
0.35,0.025,0.9653608659658716,0.9650228040674577,0.9999999857151121,0.9999983541230365,0.9653045415640572,0.9189281406807328,0.8411497891102626
0.375,0.025,0.9653444438217706,0.9650159847495836,0.9999988426553066,0.9999999976663527,0.9653256910857057,0.9250189719126221,0.8577937886592922
0.4,0.025,0.9653608659659261,0.9650228040674783,0.999999985715112,0.9999983541230357,0.965304541564111,0.918928140680356,0.8411497891086279
0.425,0.025,0.9653444438217902,0.9650159847495957,0.9999988426553067,0.9999999976663523,0.9653256910857257,0.9250189719123988,0.8577937886586678
0.45,0.025,0.9653608659659316,0.9650228040674512,0.9999999857151121,0.9999983541230362,0.9653045415640992,0.9189281406814604,0.8411497891100244
0.475,0.025,0.9653444438217657,0.965015984749584,0.9999988426553066,0.9999999976663523,0.9653256910857024,0.9250189719134669,0.8577937886600836
0.5,0.025,0.9653608659659223,0.9650228040674803,0.9999999857151117,0.999998354123036,0.965304541564102,0.9189281406798052,0.8411497891086563
0.525,0.025,0.9653444438217552,0.9650159847496,0.9999988426553066,0.999999997666352,0.9653256910856928,0.9250189719126634,0.8577937886595561
0.55,0.025,0.9653608659658931,0.9650228040674733,0.999999985715112,0.9999983541230353,0.9653045415640717,0.9189281406796437,0.8411497891089255
