k1,k2,berry_curvature,ideal_g_xx,ideal_g_yy,ideal_g_xy,residual_g_xx,residual_g_yy,residual_g_xy,residual_trace,intrinsic_g_xx,intrinsic_g_yy,intrinsic_g_xy,intrinsic_trace,trace_excess
0.25,0.025,50487.63482024964,25243.81741012482,25243.81741012482,0.0,0.015951042322665088,2.9035248786264747,0.3969686151060266,2.91947592094914,25243.83336116714,25246.720935003446,0.3969686151060266,50490.55429617059,2.91947592094914
0.275,0.025,50503.638797204425,25251.819398602212,25251.819398602212,0.0,1.292333799392936,0.1608663097945027,0.5093699814067274,1.4532001091874387,25253.111732401605,25251.980264912007,0.5093699814067274,50505.09199731361,1.4532001091874387
0.3,0.025,50487.634820239444,25243.817410119722,25243.817410119722,0.0,0.015951042322665088,2.9035248790397135,0.39696861524917676,2.9194759213623787,25243.833361162044,25246.72093499876,0.39696861524917676,50490.55429616081,2.9194759213623787
0.325,0.025,50503.638797214655,25251.819398607327,25251.819398607327,0.0,1.2923337984631484,0.16086630915398234,0.5093699800825886,1.4532001076171308,25253.111732405792,25251.98026491648,0.5093699800825886,50505.09199732227,1.4532001076171308
0.35,0.025,50487.634820221996,25243.817410110998,25243.817410110998,0.0,0.015951042136707578,2.9035248773247724,0.3969686146407886,2.91947591946148,25243.833361153134,25246.720934988323,0.3969686146407886,50490.554296141454,2.91947591946148
0.375,0.025,50503.63879722612,25251.81939861306,25251.81939861306,0.0,1.292333799392936,0.1608663088440532,0.5093699807983393,1.4532001082369892,25253.111732412453,25251.980264921905,0.5093699807983393,50505.091997334355,1.4532001082369892
0.4,0.025,50487.6348202322,25243.8174101161,25243.8174101161,0.0,0.01595104244663676,2.9035248795769246,0.39696861567862723,2.9194759220235613,25243.833361158544,25246.720934995676,0.39696861567862723,50490.55429615422,2.9194759220235613
0.425,0.025,50503.638797225365,25251.819398612683,25251.819398612683,0.0,1.2923337991449928,0.160866310042446,0.5093699811204273,1.453200109187439,25253.111732411828,25251.980264922724,0.5093699811204273,50505.09199733455,1.453200109187439
0.45,0.025,50487.63482022063,25243.817410110314,25243.817410110314,0.0,0.015951042322665088,2.903524878502503,0.3969686152849643,2.9194759208251684,25243.833361152636,25246.720934988818,0.3969686152849643,50490.554296141454,2.9194759208251684
0.475,0.025,50503.638797229956,25251.819398614978,25251.819398614978,0.0,1.292333799392936,0.1608663100837699,0.5093699812993648,1.453200109476706,25253.11173241437,25251.980264925063,0.5093699812993648,50505.091997339434,1.453200109476706
0.5,0.025,50487.634820213636,25243.817410106818,25243.817410106818,0.0,0.015951042508622594,2.9035248786884607,0.3969686153565394,2.9194759211970833,25243.833361149325,25246.720934985507,0.3969686153565394,50490.55429613483,2.9194759211970833
0.525,0.025,50503.63879724151,25251.819398620755,25251.819398620755,0.0,1.292333799392936,0.1608663106623044,0.509369981442515,1.4532001100552403,25253.111732420148,25251.98026493142,0.509369981442515,50505.09199735156,1.4532001100552403
0.55,0.025,50487.63482024073,25243.817410120366,25243.817410120366,0.0,0.01595104238465092,2.9035248800521494,0.3969686155712646,2.9194759224368,25243.83336116275,25246.72093500042,0.3969686155712646,50490.554296163165,2.9194759224368
0.575,0.025,50503.63879722731,25251.819398613654,25251.819398613654,0.0,1.2923337995169077,0.16086630979450267,0.5093699811562148,1.4532001093114104,25253.11173241317,25251.980264923448,0.5093699811562148,50505.09199733662,1.4532001093114104
0.6,0.025,50487.634820240106,25243.817410120053,25243.817410120053,0.0,0.01595104244663676,2.9035248796182485,0.3969686156428397,2.919475922064885,25243.8333611625,25246.72093499967,0.3969686156428397,50490.55429616217,2.919475922064885
0.625,0.025,50503.638797241845,25251.819398620923,25251.819398620923,0.0,1.2923337986491061,0.16086630909199656,0.5093699799394384,1.4532001077411028,25253.111732419573,25251.980264930015,0.5093699799394384,50505.091997349584,1.4532001077411028
0.65,0.025,50487.634820237305,25243.817410118652,25243.817410118652,0.0,0.015951042818551774,2.9035248807339937,0.3969686161438652,2.9194759235525454,25243.833361161473,25246.720934999386,0.3969686161438652,50490.55429616086,2.9194759235525454
0.675,0.025,50503.63879720845,25251.819398604224,25251.819398604224,0.0,1.2923337988970494,0.16086630917464434,0.509369980512039,1.4532001080716936,25253.111732403122,25251.9802649134,0.509369980512039,50505.09199731652,1.4532001080716936
0.7,0.025,50487.63482023874,25243.81741011937,25243.81741011937,0.0,0.01595104244663676,2.9035248790810377,0.3969686155354771,2.9194759215276744,25243.833361161815,25246.72093499845,0.3969686155354771,50490.55429616026,2.9194759215276744
0.725,0.025,50503.63879722169,25251.819398610845,25251.819398610845,0.0,1.2923337991449928,0.16086630909199653,0.5093699807983394,1.4532001082369894,25253.11173240999,25251.980264919937,0.5093699807983394,50505.091997329924,1.4532001082369894
0.75,0.025,50487.63482021407,25243.817410107036,25243.817410107036,0.0,0.015951042322665088,2.9035248790810377,0.3969686152849643,2.919475921403703,25243.833361149358,25246.72093498612,0.3969686152849643,50490.55429613547,2.919475921403703
0.775,0.025,50503.638797215935,25251.819398607968,25251.819398607968,0.0,1.2923337992689645,0.16086630946391156,0.5093699806551891,1.453200108732876,25253.111732407237,25251.98026491743,0.5093699806551891,50505.09199732467,1.453200108732876
0.8,0.025,50487.634820239124,25243.817410119562,25243.817410119562,0.0,0.015951042508622594,2.9035248791843475,0.39696861542811446,2.91947592169297,25243.83336116207,25246.720934998746,0.39696861542811446,50490.554296160815,2.91947592169297
0.825,0.025,50503.6387972282,25251.8193986141,25251.8193986141,0.0,1.292333799392936,0.16086630892670098,0.5093699808699144,1.453200108319637,25253.111732413494,25251.98026492303,0.5093699808699144,50505.09199733652,1.453200108319637
0.85,0.025,50487.63482022785,25243.817410113927,25243.817410113927,0.0,0.01595104238465092,2.9035248780686023,0.39696861471236367,2.919475920453253,25243.83336115631,25246.720934991994,0.39696861471236367,50490.55429614831,2.919475920453253
0.875,0.025,50503.638797220905,25251.819398610452,25251.819398610452,0.0,1.292333799392936,0.1608663109928955,0.5093699813709399,1.4532001103858314,25253.111732409845,25251.980264921447,0.5093699813709399,50505.09199733129,1.4532001103858314
