band_241_meV,band_242_meV,band_243_meV,band_244_meV,band_245_meV,band_246_meV
-65.04985336096478,-37.71783541469614,4.712478606250972,19.056800174083378,44.98489002659978,81.97094431109463
-64.31712473394602,-37.65795540697744,4.329118878970352,18.924088326193118,44.632599422553085,81.51446153851205
-63.59370210948777,-37.592405340473334,3.943566993571202,18.79169846648375,44.28226058192241,81.06095061092422
-62.87990856379218,-37.521317251032876,3.5563600894483143,18.659782216333827,43.93443130190131,80.61078834016554
-62.17607434848947,-37.44486519881556,3.1680684753289854,18.52849717710602,43.58965153166348,80.16432434186221
-61.48253626703422,-37.363268323100634,2.7792965844317137,18.398007763502324,43.248443859663794,79.72188158023577
-60.79963687571496,-37.27679399343111,2.390683850184351,18.26848606699406,42.91131415180065,79.28375702826484
-60.12772350604292,-37.1857610228373,2.002905478780142,18.140112738121747,42.57875231462862,78.85022239970866
-59.46714710885385,-37.09054289717495,1.616673088206858,18.01307787425498,42.25123316084284,78.42152492092391
-58.81826092518657,-36.991570960120875,1.2327351751222195,17.8875818973941,41.929217357007666,77.99788811977686
-58.18141899413692,-36.88933747757418,0.8518773615818982,17.76383640420804,41.61315243666591,77.57951261606694
-57.55697451417202,-36.784398486794586,0.4749223628127867,17.642064968196937,41.30347386470427,77.16657690354963
-56.94527808083618,-36.677376316271,0.10272960544370568,17.52250387138677,41.000606141822054,76.75923811785304
-56.34667583078024,-36.56896164170006,-0.26380558704129514,17.405402740594752,40.704963940644774,76.35763278762555
-55.76150752885561,-36.45991492265709,-0.6237533376635095,17.291025060869163,40.41695326757582,75.96187756866492
-55.19010464157549,-36.35106704522544,-0.9761511963834664,17.17964853651176,40.13697264685217,75.57206996218724
-54.632788445850224,-36.24331897863148,-1.3200068764015072,17.071565267879333,39.86541432538223,75.18828901956249
-54.089868226561855,-36.13764024169245,-1.654301872357373,16.96708171060201,39.602665498759244,74.81059603637888
-53.56163961945063,-36.03506596911414,-1.977996088798416,16.866518382270623,39.3491095602056,74.43903523900376
-53.048383156961066,-35.93669237133697,-2.2900336021854195,16.770209280995697,39.105127375362514,74.0736344669367
-52.55036307415496,-35.84367039696029,-2.5893496651529486,16.678500979983443,38.87109858619882,73.71440585407089
-52.067826429070756,-35.75719743665101,-2.874879034881969,16.591751363021984,38.647402947532754,73.36134651175665
-51.601002588168846,-35.678506953285975,-3.145565666552326,16.510327967566273,38.434421698895456,73.01443921634298
-51.150103122244836,-35.60885598649791,-3.4003737559793876,16.434605904898955,38.232538973403294,72.67365310335651
-50.7153221532133,-35.54951055999417,-3.638300042825663,16.364965331413575,38.042143243335765,72.33894437022299
-50.29683718773313,-35.501729114799495,-3.858387198553174,16.301788450825313,37.86362879949561,72.01025698902137
-49.89481047117908,-35.46674419625354,-4.059738025430974,16.24545603508284,37.697397258000414,71.68752343032783
-49.50939089626751,-35.44574272939103,-4.241530090535993,16.19634346143646,37.54385908406784,71.37066539898055
-49.14071650570631,-35.439845316648864,-4.403030321358768,16.154816275022025,37.40343511712494,71.05959458213654
-48.78891763912235,-35.450085071167905,-4.5436090072012245,16.121225300426975,37.276558075970705,70.75421340987859
-48.454120792003444,-35.4773865459348,-4.6627525959591605,16.095901342078673,37.163674015972674,70.45441582835163
-48.13645327975831,-35.522545320957995,-4.760074659242762,16.07914953156004,37.065243702884985,70.16008808519031
-47.83604883367331,-35.586208759089985,-4.83532442889109,16.071243400319997,36.98174386008495,69.87110952703851
-47.55305429822425,-35.66885833079157,-4.888392388672475,16.072418777851333,36.91366823745486,69.58735340885448
-47.28763765074673,-35.77079374135105,-4.919312533751346,16.08286763762723,36.861528441600086,69.30868771468327
-47.03999762364012,-35.89211887978663,-4.928261079310402,16.102732035524653,36.82585445869752,69.03497598983412
-46.81037527379308,-36.032729363220504,-4.915551593737261,16.13209830620196,36.807194793485785,68.76607818445505
-46.59906790772884,-36.19230119694208,-4.881626733142792,16.170991701240563,36.806116141352504,68.50185150880544
-46.40644582301473,-36.37027983902769,-4.827046942745107,16.219371666809693,36.823202506099875,68.2421513009902
-47.031593412110986,-37.0496624783123,-4.880269240520614,16.38622526710025,37.082798641226205,69.08480533971083
-47.658984592323435,-37.735615288231365,-4.937327772023016,16.56066808945959,37.34169801232018,69.90706434637448
-48.288843736234575,-38.42762878390949,-4.9979696604087565,16.742236622103583,37.59993817074857,70.70501990702365
-48.921415967895335,-39.12517736447864,-5.061959484661771,16.930475187409368,37.85757500039806,71.4741229552957
-49.556966848392676,-39.82771950409009,-5.129078149202924,17.124935193032314,38.11468274914147,72.20909500064366
-50.195781809082135,-40.534698047170124,-5.199121617555108,17.32517417053264,38.371354038520906,72.9038505149611
-50.83816526800455,-41.24554066492624,-5.271899548900327,17.530754652260793,38.627699844557,73.55144983083252
-51.48443935845721,-41.95966053577517,-5.3472338710817935,17.741242933347728,38.88384944145966,74.14411202666997
-52.13494219349113,-42.67645731563554,-5.424957318440102,17.95620776206981,39.139950298621486,74.67332788132482
-52.79002558739839,-43.395318464415574,-5.504911957969117,18.175218998032797,39.39616792006479,75.13011939086404
-53.45005215602216,-44.11562099097581,-5.586947722824172,18.397846274389718,39.652685614005634,75.50548611173484
-54.11539172332963,-44.836733669324886,-5.670920968290174,18.623657697119672,39.909704179036254,75.79104920426636
-54.78641697287185,-45.558019762203145,-5.756693061727331,18.852218611853832,40.16744149189918,75.97984572505997
-55.46349830076396,-46.278840263974644,-5.844129015153419,19.083090466227134,40.4261319806244,76.0671489917079
-56.14699785128054,-46.998557641898806,-5.93309616661526,19.31582979367316,40.6860259656049,76.05112992590456
-56.83726274676113,-47.71654001420184,-6.023462914461521,19.549987342611704,40.947388849951544,75.9331747955268
-57.53461755785672,-48.43216565591795,-6.115097507005335,19.78510737317302,41.21050013965796,75.71775879242959
-58.239356094895335,-49.14482767231755,-6.207866888846772,20.020727141602475,41.47565227317812,75.41191130706869
