k1_wang,k2_wang,kx,ky,zero_field_energy_meV,target_weight_raw,target_weight,target_probability,target_relative,active_weight,common_weight
0.875,0.025,0.046171924639363926,0.0011590162225886902,22.548579735321365,0.00011264396879492168,0.0001495484139665346,0.0004434217533215482,0.5581827665461886,0.00028413747913821446,0.000600540942500574
0.9,0.025,0.04751024129557737,0.0011590162225886902,23.222089500144136,9.525671727691368e-5,0.00013480962253799108,0.0003997201816114807,0.5031708867346603,0.00027012133137027644,0.0006067021073414343
0.925,0.025,0.04884855795179082,0.0011590162225886902,23.832349278953735,8.870289094441452e-5,0.00012465254634510563,0.00036960372357216185,0.4652600541220595,0.00026478398253154564,0.0006153377166296253
0.95,0.025,0.050186874608004264,0.0011590162225886902,24.338771798593108,9.008598661032229e-5,0.00011827112064471203,0.0003506823395353313,0.44144166810593133,0.00026530142545707567,0.0006225493599370617
0.975,0.025,0.05152519126421771,0.0011590162225886902,24.703292211699797,9.55893346762823e-5,0.00011463839601940937,0.00033991105096087314,0.4278826859163532,0.00026726588951281056,0.0006268941505120218
0.0,0.05,-0.0013383166562134473,0.0023180324451773805,24.58851814961279,9.362392128073727e-5,0.00011512040799341092,0.00034134025097018635,0.4296817740512282,0.00026391669336887165,0.0006208251678534976
0.025,0.05,0.0,0.0023180324451773805,24.678903016424332,0.00010310180582167827,0.0001155726300889793,0.00034268112185733966,0.43136967279720995,0.00027083058620644656,0.0006230097014128143
0.05,0.05,0.0013383166562134473,0.0023180324451773805,24.593566265600664,0.00011353884314333569,0.00011688941265310343,0.00034658547642614057,0.43628450482442943,0.00027782327812841007,0.0006236607897043045
0.075,0.05,0.0026766333124268937,0.0023180324451773805,24.33876605193618,0.00012450754909399745,0.00011827112064471201,0.0003506823395353312,0.4414416681059313,0.00028456520117150537,0.0006232567877368561
0.1,0.05,0.004014949968640342,0.0023180324451773805,23.938765819041464,0.00013569331495937227,0.00012009340520249099,0.000356085543703327,0.44824326371578566,0.00029005492880185496,0.0006223792123042076
0.125,0.05,0.005353266624853788,0.0023180324451773805,23.432553864486756,0.00014681891202983702,0.00012398304399429015,0.00036761860117348545,0.46276116654127253,0.0003379398992412609,0.0006214914670860299
0.15,0.05,0.006691583281067235,0.0023180324451773805,22.86753170345228,0.00015762055706422052,0.0001314384024806191,0.00038972427280159407,0.4905879586490372,0.00034736064957698086,0.00062082648150321
0.175,0.05,0.008029899937280682,0.0023180324451773805,22.292416712769324,0.00016789279803785794,0.0001423172551283832,0.0004219808497003488,0.5311927895978706,0.0003568149286933873,0.0006204203717964564
0.2,0.05,0.009368216593494131,0.0023180324451773805,21.751425932165695,0.00017752549567975768,0.00015493252609060648,0.0004593860312086411,0.5782787242437528,0.0003686003171257205,0.0006202092579736732
0.225,0.05,0.010706533249707577,0.0023180324451773805,21.280536774651576,0.0001864856973004043,0.00016750510639796976,0.0004966646318691237,0.6252053179297186,0.0003834983180258726,0.0006201063997982845
0.25,0.05,0.012044849905921024,0.0023180324451773805,20.905485683043366,0.00019478618459422946,0.00017918407388928004,0.0005312936065578225,0.6687965417467854,0.0004012434756511347,0.0006200423111330744
0.275,0.05,0.013383166562134473,0.0023180324451773805,20.64075835634419,0.00020247308120638252,0.00018981833531399463,0.0005628249529703753,0.7084884468949798,0.0004202591824465107,0.0006199858036771299
0.3,0.05,0.014721483218347917,0.0023180324451773805,20.488998185809688,0.00020959199307615762,0.00019928184623555124,0.000590884940329073,0.7438105781521966,0.0004384143817376139,0.000619936402397267
0.325,0.05,0.016059799874561367,0.0023180324451773805,20.44069917031156,0.00021617683160521042,0.00020756482922465626,0.0006154445778561109,0.7747264417008951,0.0004542407479181814,0.0006198969636402901
0.35,0.05,0.01739811653077481,0.0023180324451773805,20.474540744817737,0.00022228421767511537,0.00021481634027703945,0.0006369458272494872,0.8017923823785762,0.0004673048688140776,0.0006198647249452962
0.375,0.05,0.01873643318698826,0.0023180324451773805,20.559060463021282,0.00022800354694493718,0.00022133510074394533,0.0006562744187005837,0.8261233642683854,0.0004778043926333178,0.0006198360137002122
0.4,0.05,0.02007474984320171,0.0023180324451773805,20.656280458906153,0.000233437161286382,0.00022739363372917498,0.0006742384027216254,0.8487365676666079,0.00048612295374211346,0.0006198032466352212
0.425,0.05,0.021413066499415153,0.0023180324451773805,20.727269660362477,0.0002386802946382582,0.00023314334526687575,0.0006912867090427539,0.8701971088240322,0.0004926206808145804,0.0006197475683206934
0.45,0.05,0.0227513831556286,0.0023180324451773805,20.738712672309497,0.00024378605755924734,0.0002387446006982232,0.0007078948323808304,0.8911035442042231,0.0004975926943810805,0.0006196507463671847
