path_index,k1_wang,k2_wang,k_distance
32.0,0.4389438943894389,0.561056105610561,0.009792348283257583
33.0,0.4422442244224422,0.5577557755775577,0.01009835916710938
34.0,0.4455445544554455,0.5544554455445544,0.01040437005096118
35.0,0.44884488448844884,0.5511551155115512,0.010710380934812977
36.0,0.4521452145214521,0.5478547854785478,0.011016391818664777
37.0,0.4554455445544554,0.5445544554455446,0.011322402702516573
38.0,0.45874587458745875,0.5412541254125413,0.011628413586368376
39.0,0.46204620462046203,0.5379537953795379,0.011934424470220176
40.0,0.4653465346534653,0.5346534653465347,0.012240435354071972
41.0,0.46864686468646866,0.5313531353135313,0.012546446237923775
42.0,0.47194719471947194,0.5280528052805281,0.012852457121775572
43.0,0.4752475247524752,0.5247524752475248,0.013158468005627371
44.0,0.4785478547854785,0.5214521452145214,0.013464478889479171
45.0,0.48184818481848185,0.5181518151815182,0.013770489773330969
46.0,0.48514851485148514,0.5148514851485149,0.014076500657182769
47.0,0.4884488448844884,0.5115511551155115,0.014382511541034568
48.0,0.4917491749174917,0.5082508250825082,0.014688522424886368
49.0,0.49504950495049505,0.504950495049505,0.014994533308738166
50.0,0.49834983498349833,0.5016501650165016,0.015300544192589966
51.0,0.5016501650165016,0.49834983498349833,0.015606555076441764
52.0,0.504950495049505,0.49504950495049505,0.015912565960293563
53.0,0.5082508250825082,0.4917491749174917,0.016218576844145363
54.0,0.5115511551155115,0.4884488448844884,0.016524587727997163
55.0,0.5148514851485149,0.48514851485148514,0.016830598611848963
56.0,0.5181518151815181,0.4818481848184818,0.017136609495700762
57.0,0.5214521452145214,0.47854785478547857,0.017442620379552562
58.0,0.5247524752475248,0.4752475247524752,0.017748631263404365
59.0,0.528052805280528,0.47194719471947194,0.01805464214725616
60.0,0.5313531353135313,0.46864686468646866,0.01836065303110796
61.0,0.5346534653465347,0.4653465346534653,0.018666663914959764
62.0,0.5379537953795379,0.46204620462046203,0.01897267479881156
63.0,0.5412541254125413,0.45874587458745875,0.01927868568266336
64.0,0.5445544554455446,0.4554455445544554,0.019584696566515163
65.0,0.5478547854785478,0.4521452145214521,0.01989070745036696
66.0,0.5511551155115512,0.44884488448844884,0.02019671833421876
67.0,0.5544554455445545,0.4455445544554455,0.020502729218070562
68.0,0.5577557755775577,0.4422442244224422,0.02080874010192236
69.0,0.5610561056105611,0.4389438943894389,0.02111475098577416
70.0,0.5643564356435643,0.43564356435643564,0.021420761869625955
71.0,0.5676567656765676,0.43234323432343236,0.021726772753477754
72.0,0.570957095709571,0.429042904290429,0.022032783637329557
73.0,0.5742574257425742,0.42574257425742573,0.022338794521181354
74.0,0.5775577557755776,0.42244224422442245,0.022644805405033153
75.0,0.5808580858085809,0.4191419141914191,0.022950816288884957
76.0,0.5841584158415841,0.4158415841584158,0.023256827172736753
77.0,0.5874587458745874,0.4125412541254125,0.02356283805658855
78.0,0.5907590759075908,0.4092409240924092,0.023868848940440356
79.0,0.594059405940594,0.4059405940594059,0.024174859824292152
80.0,0.5973597359735973,0.4026402640264026,0.024480870708143948
81.0,0.6006600660066007,0.3993399339933993,0.024786881591995755
82.0,0.6039603960396039,0.396039603960396,0.02509289247584755
83.0,0.6072607260726073,0.3927392739273927,0.02539890335969935
84.0,0.6105610561056105,0.38943894389438943,0.025704914243551147
85.0,0.6138613861386137,0.3861386138613861,0.026010925127402947
86.0,0.6171617161716172,0.3828382838283828,0.026316936011254753
87.0,0.6204620462046204,0.3795379537953795,0.02662294689510655
88.0,0.6237623762376237,0.3762376237623762,0.026928957778958346
89.0,0.6270627062706271,0.3729372937293729,0.027234968662810152
90.0,0.6303630363036303,0.3696369636963696,0.02754097954666195
91.0,0.6336633663366336,0.3663366336633663,0.027846990430513745
92.0,0.636963696369637,0.36303630363036304,0.028153001314365548
93.0,0.6402640264026402,0.3597359735973597,0.028459012198217344
94.0,0.6435643564356435,0.35643564356435636,0.028765023082069144
95.0,0.6468646864686468,0.35313531353135313,0.029071033965920944
96.0,0.65016501650165,0.3498349834983498,0.029377044849772743
97.0,0.6534653465346535,0.34653465346534656,0.029683055733624546
98.0,0.6567656765676567,0.3432343234323432,0.029989066617476343
99.0,0.66006600660066,0.3399339933993399,0.030295077501328142
100.0,0.6633663366336634,0.33663366336633666,0.030601088385179945
101.0,0.6666666666666666,0.3333333333333333,0.03090709926903174
102.0,0.6609848484848485,0.3333333333333333,0.031211262145443886
103.0,0.6553030303030303,0.3333333333333333,0.03151542502185604
104.0,0.6496212121212122,0.3333333333333333,0.03181958789826818
105.0,0.6439393939393939,0.3333333333333333,0.032123750774680326
106.0,0.6382575757575758,0.3333333333333333,0.03242791365109247
107.0,0.6325757575757576,0.3333333333333333,0.032732076527504615
108.0,0.6268939393939393,0.33333333333333326,0.03303623940391676
109.0,0.6212121212121211,0.33333333333333326,0.03334040228032891
110.0,0.615530303030303,0.33333333333333326,0.03364456515674105
111.0,0.6098484848484848,0.33333333333333326,0.0339487280331532
112.0,0.6041666666666666,0.3333333333333333,0.03425289090956535
113.0,0.5984848484848484,0.3333333333333333,0.034557053785977496
114.0,0.5928030303030303,0.3333333333333333,0.03486121666238964
115.0,0.587121212121212,0.3333333333333333,0.035165379538801785
116.0,0.5814393939393939,0.3333333333333333,0.035469542415213925
117.0,0.5757575757575757,0.3333333333333333,0.03577370529162607
118.0,0.5700757575757576,0.3333333333333333,0.036077868168038214
119.0,0.5643939393939393,0.3333333333333333,0.03638203104445036
120.0,0.5587121212121212,0.3333333333333333,0.0366861939208625
121.0,0.553030303030303,0.3333333333333333,0.03699035679727465
122.0,0.5473484848484849,0.3333333333333333,0.03729451967368679
123.0,0.5416666666666666,0.3333333333333333,0.03759868255009894
124.0,0.5359848484848485,0.3333333333333333,0.03790284542651108
125.0,0.5303030303030303,0.3333333333333333,0.03820700830292323
126.0,0.524621212121212,0.33333333333333326,0.03851117117933538
127.0,0.5189393939393939,0.33333333333333337,0.038815334055747525
128.0,0.5132575757575757,0.33333333333333326,0.03911949693215967
129.0,0.5075757575757576,0.33333333333333337,0.03942365980857182
130.0,0.5018939393939393,0.33333333333333326,0.03972782268498397
131.0,0.49621212121212127,0.33333333333333337,0.04003198556139611
132.0,0.490530303030303,0.3333333333333333,0.04033614843780826
133.0,0.4848484848484848,0.3333333333333333,0.040640311314220405
134.0,0.47916666666666663,0.3333333333333333,0.04094447419063255
135.0,0.47348484848484845,0.3333333333333333,0.0412486370670447
136.0,0.4678030303030303,0.3333333333333333,0.04155279994345685
137.0,0.46212121212121204,0.33333333333333326,0.041856962819869
138.0,0.4564393939393939,0.3333333333333333,0.042161125696281145
139.0,0.4507575757575757,0.33333333333333326,0.04246528857269329
140.0,0.44507575757575757,0.3333333333333333,0.04276945144910544
141.0,0.43939393939393934,0.33333333333333326,0.04307361432551759
142.0,0.4337121212121212,0.3333333333333333,0.043377777201929736
143.0,0.428030303030303,0.3333333333333333,0.043681940078341884
144.0,0.4223484848484848,0.3333333333333333,0.04398610295475403
145.0,0.41666666666666663,0.3333333333333333,0.04429026583116618
146.0,0.41098484848484845,0.3333333333333333,0.04459442870757833
147.0,0.4053030303030303,0.3333333333333333,0.044898591583990476
148.0,0.3996212121212121,0.3333333333333333,0.045202754460402624
149.0,0.3939393939393939,0.3333333333333333,0.04550691733681477
150.0,0.38825757575757575,0.3333333333333333,0.04581108021322692
151.0,0.38257575757575757,0.3333333333333333,0.04611524308963907
152.0,0.37689393939393934,0.3333333333333333,0.046419405966051215
153.0,0.3712121212121212,0.3333333333333333,0.046723568842463356
154.0,0.365530303030303,0.3333333333333333,0.047027731718875504
155.0,0.35984848484848486,0.3333333333333333,0.047331894595287645
156.0,0.35416666666666663,0.3333333333333333,0.04763605747169979
157.0,0.3484848484848485,0.3333333333333333,0.047940220348111934
158.0,0.3428030303030303,0.3333333333333333,0.04824438322452408
159.0,0.33712121212121215,0.3333333333333333,0.04854854610093622
160.0,0.3314393939393939,0.3333333333333333,0.04885270897734837
161.0,0.3257575757575758,0.3333333333333333,0.04915687185376051
162.0,0.32007575757575757,0.3333333333333333,0.04946103473017266
163.0,0.31439393939393934,0.3333333333333333,0.04976519760658481
164.0,0.3087121212121212,0.3333333333333333,0.05006936048299695
165.0,0.303030303030303,0.3333333333333333,0.050373523359409096
166.0,0.29734848484848486,0.3333333333333333,0.05067768623582124
167.0,0.29166666666666663,0.3333333333333333,0.050981849112233385
168.0,0.2859848484848485,0.3333333333333333,0.051286011988645526
169.0,0.2803030303030303,0.3333333333333333,0.051590174865057674
170.0,0.27462121212121215,0.3333333333333333,0.051894337741469815
171.0,0.2689393939393939,0.3333333333333333,0.05219850061788196
172.0,0.2632575757575758,0.3333333333333333,0.052502663494294104
173.0,0.2575757575757575,0.3333333333333333,0.05280682637070626
174.0,0.25189393939393934,0.3333333333333333,0.053110989247118406
175.0,0.24621212121212116,0.3333333333333333,0.053415152123530554
176.0,0.24053030303030298,0.3333333333333333,0.0537193149999427
177.0,0.2348484848484848,0.3333333333333333,0.05402347787635485
178.0,0.22916666666666663,0.3333333333333333,0.054327640752767
179.0,0.22348484848484845,0.3333333333333333,0.054631803629179146
