k1,k2,magnetic_band,energy_meV
0.025,0.0,98,51.51360967480221
0.025,0.0,99,52.457790491722726
0.025,0.0,100,53.348246881032004
0.025,0.0,101,53.7273035360589
0.025,0.0,102,54.49079645754616
0.025,0.0,103,56.785076695308845
0.025,0.0,104,59.08628088278943
0.025,0.0,105,61.49810184063223
0.025,0.0,106,64.2113076298883
0.025,0.0,107,65.5801749504258
0.025,0.0,108,67.14081404449803
0.025,0.0,109,69.05172536752355
0.025,0.0,110,70.91509687176065
0.025,0.0,111,72.46836738907737
0.025,0.0,112,74.59241251693031
0.025,0.0,113,76.99932412993144
0.025,0.0,114,79.5325287393799
0.025,0.0,115,82.64437330187681
0.025,0.0,116,86.08204158172163
0.025,0.0,117,90.88656980977463
0.025,0.0,118,95.85383858716497
0.05,0.0,1,-93.5803799117501
0.05,0.0,2,-86.45004877512005
0.05,0.0,3,-81.54958260856628
0.05,0.0,4,-77.40078442415697
0.05,0.0,5,-74.86533341110669
0.05,0.0,6,-72.42954410277667
0.05,0.0,7,-69.00914845034322
0.05,0.0,8,-66.43552420938238
0.05,0.0,9,-64.79586532039806
0.05,0.0,10,-62.27572608663763
0.05,0.0,11,-59.99555407960327
0.05,0.0,12,-57.951133760099054
0.05,0.0,13,-55.25763564491041
0.05,0.0,14,-54.210953573038694
0.05,0.0,15,-51.96092505784162
0.05,0.0,16,-50.313256114105
0.05,0.0,17,-48.549072423875344
0.05,0.0,18,-47.638809245130744
0.05,0.0,19,-45.48350904737245
0.05,0.0,20,-44.437152207057636
0.05,0.0,21,-43.254967810517144
0.05,0.0,22,-41.64565925347023
0.05,0.0,23,-40.7008163594374
0.05,0.0,24,-39.92367945307882
0.05,0.0,25,-38.684575795755364
0.05,0.0,26,-37.874631104134494
0.05,0.0,27,-37.40105956778615
0.05,0.0,28,-36.64518509517973
0.05,0.0,29,-36.29096523844771
0.05,0.0,30,-35.98496287301995
0.05,0.0,31,-34.19691555220611
0.05,0.0,32,-34.09983901878643
0.05,0.0,33,-31.625426469191794
0.05,0.0,34,-30.871692135438664
0.05,0.0,35,-28.866155659834064
0.05,0.0,36,-26.233813905650038
0.05,0.0,37,-25.56182925169969
0.05,0.0,38,-21.195571754137617
0.05,0.0,39,-21.06305707260408
0.05,0.0,40,-14.967427939013888
0.05,0.0,41,-7.799794596755078
0.05,0.0,42,-7.532285469519948
0.05,0.0,43,-5.926076832546158
0.05,0.0,44,-4.694906019266398
0.05,0.0,45,-4.430073410643104
0.05,0.0,46,-3.5100746153030116
0.05,0.0,47,-2.949782920270607
0.05,0.0,48,-2.141079414838927
0.05,0.0,49,-1.2940468917537942
0.05,0.0,50,-0.2847993088026044
0.05,0.0,51,0.7987785501288158
0.05,0.0,52,2.0466369038262258
0.05,0.0,53,3.34176553756744
0.05,0.0,54,4.748728346591179
0.05,0.0,55,6.2777905965131
0.05,0.0,56,7.9118430797610415
0.05,0.0,57,9.621744168155317
0.05,0.0,58,11.40337767616623
0.05,0.0,59,13.273705377204891
0.05,0.0,60,15.16872147939722
0.05,0.0,61,16.94357469268009
0.05,0.0,62,16.975857059108442
0.05,0.0,63,17.047317160422445
0.05,0.0,64,18.444055154940017
0.05,0.0,65,18.72917928686337
0.05,0.0,66,18.792331365918038
0.05,0.0,67,19.46473384035214
0.05,0.0,68,19.702661773148435
0.05,0.0,69,20.060653622544592
0.05,0.0,70,20.495476321813825
0.05,0.0,71,20.77490841441667
0.05,0.0,72,21.095502468445247
0.05,0.0,73,21.30621504206144
0.05,0.0,74,21.73061937945102
0.05,0.0,75,21.804301220605254
0.05,0.0,76,22.287639984208937
0.05,0.0,77,22.893234070550008
0.05,0.0,78,22.92613277612259
0.05,0.0,79,25.331757190942355
0.05,0.0,80,31.462620315058658
0.05,0.0,81,33.07164701476647
