k1,k2,raw_link1_abs,raw_link2_abs,covariant_link1_abs,covariant_link2_abs,frame_singular1,frame_singular2,frame_singular_difference
0.275,0.025,0.9653445644184974,0.9650167271560565,0.9999988426295021,0.9999999976711584,0.9653258082578687,0.9250138875757472,0.8577868126256918
0.3,0.025,0.9653609825808885,0.9650235462041791,0.9999999857250749,0.9999983539467855,0.9653045846178843,0.9189240508322519,0.841141126254248
0.325,0.025,0.9653445644184901,0.9650167271560088,0.9999988426295021,0.9999999976711587,0.9653258082578634,0.9250138875768014,0.8577868126274746
0.35,0.025,0.965360982580929,0.9650235462041622,0.999999985725075,0.9999983539467855,0.965304584617933,0.9189240508292125,0.8411411262529191
0.375,0.025,0.9653445644185623,0.9650167271560635,0.9999988426295019,0.9999999976711579,0.9653258082579345,0.9250138875760683,0.8577868126256883
0.4,0.025,0.9653609825809482,0.9650235462042227,0.9999999857250753,0.9999983539467853,0.9653045846179413,0.9189240508314631,0.8411411262548849
0.425,0.025,0.9653445644185205,0.9650167271560249,0.9999988426295016,0.9999999976711582,0.9653258082578985,0.9250138875764394,0.8577868126280448
0.45,0.025,0.9653609825809245,0.9650235462041861,0.9999999857250746,0.9999983539467845,0.9653045846179218,0.9189240508306308,0.8411411262550286
0.475,0.025,0.9653445644185121,0.9650167271559954,0.9999988426295018,0.9999999976711582,0.9653258082578859,0.9250138875760894,0.8577868126274364
0.5,0.025,0.9653609825809188,0.9650235462042156,0.999999985725075,0.9999983539467854,0.9653045846178809,0.9189240508327202,0.8411411262533836
0.525,0.025,0.9653445644185213,0.9650167271560554,0.9999988426295019,0.9999999976711582,0.9653258082578984,0.925013887575638,0.8577868126276759
0.55,0.025,0.9653609825808808,0.9650235462041944,0.9999999857250754,0.9999983539467852,0.9653045846178502,0.9189240508325337,0.8411411262544437
0.575,0.025,0.9653445644184864,0.9650167271560132,0.9999988426295012,0.9999999976711584,0.9653258082578637,0.9250138875753121,0.8577868126271141
0.6,0.025,0.9653609825809468,0.9650235462041545,0.999999985725075,0.9999983539467848,0.9653045846179422,0.9189240508308056,0.8411411262544763
0.625,0.025,0.9653445644185491,0.9650167271560633,0.9999988426295018,0.9999999976711585,0.9653258082579225,0.9250138875764806,0.8577868126273013
0.65,0.025,0.9653609825809375,0.9650235462042273,0.9999999857250752,0.9999983539467853,0.9653045846178989,0.9189240508319111,0.8411411262543388
0.675,0.025,0.9653445644185181,0.9650167271560123,0.9999988426295014,0.9999999976711587,0.9653258082578932,0.9250138875769494,0.8577868126285609
0.7,0.025,0.9653609825808989,0.9650235462041746,0.9999999857250748,0.9999983539467853,0.9653045846178461,0.9189240508312447,0.84114112625386
0.725,0.025,0.9653445644185311,0.965016727155985,0.9999988426295018,0.9999999976711581,0.9653258082579071,0.9250138875774107,0.8577868126273578
0.75,0.025,0.9653609825809262,0.9650235462042129,0.9999999857250752,0.9999983539467856,0.965304584617916,0.9189240508319947,0.8411411262563396
0.775,0.025,0.9653445644185067,0.9650167271560554,0.9999988426295022,0.9999999976711585,0.9653258082578768,0.9250138875772135,0.8577868126263922
0.8,0.025,0.9653609825808808,0.9650235462041873,0.9999999857250749,0.9999983539467852,0.9653045846178695,0.9189240508309862,0.8411411262538789
0.825,0.025,0.9653445644185026,0.9650167271560112,0.9999988426295011,0.9999999976711583,0.9653258082578767,0.9250138875766282,0.8577868126276008
0.85,0.025,0.96536098258093,0.96502354620416,0.9999999857250749,0.9999983539467852,0.9653045846179095,0.9189240508321345,0.8411411262550285
0.875,0.025,0.9653445644185593,0.9650167271560588,0.9999988426295021,0.9999999976711581,0.9653258082579325,0.9250138875766725,0.8577868126265311
0.9,0.025,0.9653609825809535,0.9650235462042281,0.9999999857250748,0.9999983539467852,0.9653045846179599,0.9189240508309798,0.8411411262546561
0.925,0.025,0.965344564418516,0.965016727156022,0.9999988426295014,0.9999999976711581,0.9653258082578889,0.9250138875757739,0.8577868126263237
0.95,0.025,0.9653609825809308,0.9650235462041774,0.9999999857250752,0.9999983539467849,0.9653045846179475,0.9189240508311648,0.8411411262560395
0.975,0.025,0.9653445644184985,0.9650167271560014,0.9999988426295014,0.9999999976711585,0.9653258082578703,0.925013887578215,0.8577868126288002
