k1,k2,berry_curvature,ideal_g_xx,ideal_g_yy,ideal_g_xy,residual_g_xx,residual_g_yy,residual_g_xy,residual_trace,intrinsic_g_xx,intrinsic_g_yy,intrinsic_g_xy,intrinsic_trace,trace_excess
0.325,0.0,50790.89692418856,25395.44846209428,25395.44846209428,0.0,0.13087729157097094,0.8637749520870385,-0.10518718911417976,0.9946522436580094,25395.57933938585,25396.312237046364,-0.10518718911417976,50791.891576432216,0.9946522436580094
0.35,0.0,50753.47800646787,25376.739003233935,25376.739003233935,0.0,0.6740660276854659,1.2014804402860249,0.8366260260112297,1.8755464679714908,25377.41306926162,25377.94048367422,0.8366260260112297,50755.35355293584,1.8755464679714908
0.375,0.0,50790.89692417129,25395.448462085646,25395.448462085646,0.0,0.13087729144699928,0.8637749520870386,-0.1051871895078427,0.9946522435340379,25395.57933937709,25396.31223703773,-0.1051871895078427,50791.891576414826,0.9946522435340379
0.4,0.0,50753.478006454294,25376.739003227147,25376.739003227147,0.0,0.6740660278094376,1.2014804408232356,0.8366260260828049,1.875546468632673,25377.413069254955,25377.94048366797,0.8366260260828049,50755.35355292293,1.875546468632673
0.425,0.0,50790.896924173845,25395.448462086923,25395.448462086923,0.0,0.13087729138501344,0.8637749529755021,-0.10518718925732995,0.9946522443605156,25395.579339378306,25396.3122370399,-0.10518718925732995,50791.8915764182,0.9946522443605156
0.45,0.0,50753.47800644219,25376.739003221093,25376.739003221093,0.0,0.6740660281813525,1.201480440327349,0.8366260263333176,1.8755464685087015,25377.413069249276,25377.94048366142,0.8366260263333176,50755.353552910696,1.8755464685087015
0.475,0.0,50790.896924168446,25395.448462084223,25395.448462084223,0.0,0.13087729157097094,0.8637749516737996,-0.10518718940048008,0.9946522432447705,25395.579339375796,25396.312237035898,-0.10518718940048008,50791.89157641169,0.9946522432447705
0.5,0.0,50753.478006463694,25376.739003231847,25376.739003231847,0.0,0.6740660280573809,1.2014804411951507,0.8366260264048927,1.8755464692525317,25377.413069259903,25377.940483673043,0.8366260264048927,50755.353552932946,1.8755464692525317
0.525,0.0,50790.89692418609,25395.448462093045,25395.448462093045,0.0,0.13087729138501344,0.8637749525209394,-0.10518718936469254,0.9946522439059529,25395.57933938443,25396.312237045568,-0.10518718936469254,50791.891576429996,0.9946522439059529
0.55,0.0,50753.47800645975,25376.739003229875,25376.739003229875,0.0,0.6740660281813525,1.2014804402860249,0.83662602629753,1.8755464684673773,25377.41306925806,25377.94048367016,0.83662602629753,50755.353552928216,1.8755464684673773
0.575,0.0,50790.89692417908,25395.44846208954,25395.44846208954,0.0,0.1308772915089851,0.8637749521077005,-0.105187189328905,0.9946522436166856,25395.579339381045,25396.312237041646,-0.105187189328905,50791.89157642269,0.9946522436166856
0.6,0.0,50753.47800644254,25376.73900322127,25376.73900322127,0.0,0.6740660278094376,1.2014804396661667,0.8366260257965046,1.8755464674756044,25377.41306924908,25377.94048366094,0.8366260257965046,50755.35355291002,1.8755464674756044
0.625,0.0,50790.8969241755,25395.44846208775,25395.44846208775,0.0,0.13087729144699928,0.8637749530788119,-0.10518718900681714,0.9946522445258112,25395.579339379194,25396.312237040827,-0.10518718900681714,50791.89157642002,0.9946522445258112
0.65,0.0,50753.47800646855,25376.739003234274,25376.739003234274,0.0,0.6740660280573809,1.201480441319122,0.8366260265838305,1.875546469376503,25377.41306926233,25377.940483675593,0.8366260265838305,50755.35355293792,1.875546469376503
0.675,0.0,50790.89692416879,25395.448462084394,25395.448462084394,0.0,0.13087729113707008,0.8637749517771094,-0.1051871898657181,0.9946522429141795,25395.57933937553,25396.31223703617,-0.1051871898657181,50791.891576411705,0.9946522429141795
0.7,0.0,50753.47800648139,25376.739003240695,25376.739003240695,0.0,0.6740660279334092,1.2014804402033772,0.8366260260112298,1.8755464681367864,25377.413069268627,25377.940483680897,0.8366260260112298,50755.35355294953,1.8755464681367864
0.725,0.0,50790.89692415675,25395.448462078373,25395.448462078373,0.0,0.13087729157097094,0.8637749516324756,-0.10518718943626762,0.9946522432034466,25395.579339369946,25396.312237030004,-0.10518718943626762,50791.89157639995,0.9946522432034466
0.75,0.0,50753.478006461,25376.7390032305,25376.7390032305,0.0,0.6740660280573809,1.2014804404926445,0.8366260263691052,1.8755464685500254,25377.413069258557,25377.940483670995,0.8366260263691052,50755.353552929555,1.8755464685500254
0.775,0.0,50790.89692416744,25395.44846208372,25395.44846208372,0.0,0.1308772916949426,0.8637749526242491,-0.10518718911417976,0.9946522443191916,25395.579339375417,25396.312237036345,-0.10518718911417976,50791.89157641176,0.9946522443191916
0.8,0.0,50753.47800647004,25376.73900323502,25376.73900323502,0.0,0.6740660285532676,1.2014804406992639,0.8366260267627681,1.8755464692525314,25377.413069263574,25377.94048367572,0.8366260267627681,50755.35355293929,1.8755464692525314
0.825,0.0,50790.89692416275,25395.448462081375,25395.448462081375,0.0,0.1308772916949426,0.863774952665573,-0.10518718907839225,0.9946522443605157,25395.57933937307,25396.31223703404,-0.10518718907839225,50791.891576407106,0.9946522443605157
0.85,0.0,50753.47800646039,25376.739003230196,25376.739003230196,0.0,0.6740660279334092,1.201480439831462,0.8366260259038671,1.8755464677648712,25377.413069258128,25377.940483670027,0.8366260259038671,50755.35355292816,1.8755464677648712
0.875,0.0,50790.89692417488,25395.44846208744,25395.44846208744,0.0,0.13087729157097094,0.8637749514258564,-0.10518718954363024,0.9946522429968273,25395.57933937901,25396.312237038866,-0.10518718954363024,50791.891576417875,0.9946522429968273
